edad,genero,estado_civil,etnia,sector_procedencia,provincia_nacimiento,trabaja,ingreso_estudiante,numero_hijos,tipo_colegio,ciclo,PERDIDAS,MATEMATICAS DISCRETAS,PROGRAMACION ORIENTADA A OBJETOS,DISENO DE CIRCUITOS,TECNOLOGIA Y CAMBIO SOCIAL,CALCULO DIFERENCIAL,TEORIA DE LA DISTRIBUCION Y PROBABILIDAD
22,0,1,1,0,11,0,0,0,1,2,0,1,1,1,1,1,1
23,0,1,1,0,23,0,0,0,2,2,0,1,1,1,1,1,1
19,1,1,1,0,11,0,0,0,2,2,1,1,1,1,1,1,1
25,0,1,1,1,11,0,1,0,1,2,0,1,1,1,1,1,1
21,1,0,1,0,11,0,0,1,2,2,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,2,3,1,0,0,0,1,1
35,0,1,1,0,11,1,1,0,1,2,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,2,1,0,1,1,1,1,1
21,0,1,1,0,11,1,1,0,2,2,2,1,0,1,1,1,0
21,0,1,1,0,11,0,0,0,2,2,3,0,1,0,0,1,1
20,0,1,1,0,19,0,0,0,2,2,2,0,1,1,1,0,1
22,0,1,1,0,11,0,0,0,2,2,0,1,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,2,0,1,1,1,1,1,1
19,1,1,1,0,11,0,0,0,2,2,0,1,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,2,6,0,0,0,0,0,0
21,0,1,1,0,11,0,1,0,2,2,6,0,0,0,0,0,0
20,0,1,1,0,19,0,0,0,2,2,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,2,1,1,1,1,0,1,1
24,0,1,1,0,11,0,0,0,2,2,6,0,0,0,0,0,0
21,0,1,1,0,11,0,0,0,2,2,3,1,0,1,1,0,0
21,1,1,1,1,11,0,0,0,2,2,4,0,0,0,1,1,0
20,0,1,1,1,11,0,0,0,2,2,6,0,0,0,0,0,0
21,1,1,6,0,11,0,1,0,2,2,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,2,5,0,0,0,1,0,0
23,0,1,1,0,19,0,0,0,2,2,0,1,1,1,1,1,1
34,1,1,1,0,11,1,1,1,2,2,0,1,1,1,1,1,1
24,0,1,1,0,21,0,0,0,2,2,6,0,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,2,6,0,0,0,0,0,0
24,0,1,1,0,11,0,1,1,2,2,4,1,0,0,1,0,0
21,0,1,1,0,9,0,0,0,2,2,3,0,0,1,1,1,0
21,0,1,1,0,11,0,0,0,2,2,0,1,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,2,0,1,1,1,1,1,1
22,0,1,1,0,11,1,1,0,2,2,0,1,1,1,1,1,1
22,1,1,1,0,11,0,0,0,2,2,1,0,1,1,1,1,1
21,0,1,1,0,7,0,0,0,2,2,2,0,0,1,1,1,1
20,0,1,1,0,11,0,0,0,2,2,1,1,0,1,1,1,1
23,1,1,1,0,7,0,0,0,2,2,0,1,1,1,1,1,1
