@relation data_trapuesta_sis

@attribute edad {19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute genero {1,0}
@attribute estado_civil {1,0}
@attribute etnia {0,1,2,3,4,5,6}
@attribute sector_procedencia {1,0}
@attribute provincia_nacimiento {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute trabaja {1,0}
@attribute ingreso_estudiante {1,0}
@attribute numero_hijos{1,0}
@attribute tipo_colegio {1,2,3}
@attribute ARQUITECTURA_DE_CONPUTADORAS {0,1}
@attribute CONTABILIDAD_DE_COSTOS {0,1}
@attribute ESTADISTICA_INFERENCIAL {0,1}
@attribute ETICA_PROFESIONAL {0,1}
@attribute PROGRAMACION_AVANZADA {0,1}

@data
36,0,1,1,0,11,0,1,0,1,1,0,1,1,1
30,0,1,1,0,7,0,0,0,1,1,1,0,1,1
30,0,1,1,1,11,0,1,0,2,1,1,1,1,1
35,0,1,1,0,11,1,1,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
31,0,1,1,0,11,0,0,0,2,1,0,1,1,1
26,0,1,1,0,19,0,1,0,2,1,1,1,1,1
32,0,0,1,0,11,0,0,1,2,1,0,0,1,0
23,0,1,1,0,11,0,0,0,2,1,1,1,1,1
32,0,0,1,0,7,0,0,0,1,1,1,0,1,1
26,0,1,1,0,7,0,1,0,2,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
24,1,1,1,0,17,0,0,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
33,0,0,1,0,11,0,0,0,2,1,0,0,1,0
24,0,1,1,0,11,0,0,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,0,1,1,1
35,1,1,1,0,11,0,0,0,2,1,0,0,1,1
26,0,1,1,0,11,1,1,0,2,1,1,1,1,1
32,1,0,1,0,11,0,0,0,2,1,1,0,1,1
30,1,1,1,0,11,0,0,0,1,1,0,0,1,0
29,0,1,1,1,11,0,0,0,1,1,1,1,1,1
30,0,1,1,0,7,0,0,0,1,1,1,1,1,1
28,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,1,1,0,11,0,0,0,2,1,1,1,1,1
25,0,1,1,0,7,0,1,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,1,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,1,1,1,1,1
25,0,1,1,1,11,0,0,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,1,1,1,1,1
29,0,1,1,0,19,1,1,0,1,1,1,1,1,1
31,0,1,1,0,19,0,0,0,1,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,0,1,1,0,1
25,0,1,1,0,11,1,0,0,1,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,1,1,0,11,0,0,0,2,1,1,1,1,1
29,1,1,1,0,11,0,0,0,2,1,1,1,1,0
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,1,1,1,1,1,1
30,1,1,1,0,11,0,1,0,1,1,1,1,1,1
25,0,1,1,0,17,1,1,0,2,0,1,1,1,1
22,1,1,1,0,11,0,0,0,1,0,1,0,1,1
26,0,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1
29,1,1,1,0,11,0,1,0,1,1,1,1,1,1
22,0,1,1,0,21,0,0,0,1,1,1,1,1,1
21,0,1,1,0,11,1,1,0,2,1,1,1,1,1
29,0,1,1,0,11,0,0,0,1,1,1,1,1,1
28,1,1,1,0,11,0,1,0,1,1,1,1,1,1
22,1,1,1,0,11,0,0,0,2,1,1,1,1,0
25,1,1,1,0,11,0,0,0,1,1,1,1,1,1
27,1,1,1,0,11,0,0,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,1,1,1,1,1
25,1,1,1,0,11,1,1,0,1,1,1,1,1,1
29,0,1,1,0,7,0,0,0,1,1,0,0,1,0
23,0,1,1,0,11,1,0,0,1,1,1,1,1,1
32,1,0,1,0,11,0,0,1,1,1,0,0,1,0
29,1,1,1,0,11,0,1,0,1,1,1,1,1,1
29,0,0,1,0,11,0,0,1,1,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,1,0,19,0,0,0,1,1,1,1,1,1
23,1,1,1,0,11,0,0,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1
32,1,1,1,0,11,0,0,1,1,1,1,0,1,0
28,0,1,3,1,11,0,0,1,2,1,1,1,1,1
29,0,1,1,0,11,0,0,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,0,1,1,1
29,1,1,1,0,11,0,0,0,1,1,1,1,1,1
29,0,1,1,0,11,0,0,0,3,1,0,0,1,1
29,1,1,1,0,11,0,0,0,2,1,1,1,1,0
25,0,1,1,0,19,0,1,0,2,1,1,1,1,1
22,1,1,1,1,11,0,0,0,1,1,1,1,1,1
29,1,0,1,0,11,0,0,0,2,1,0,0,1,0
37,0,1,1,0,11,0,0,1,2,1,1,1,1,1
33,0,1,1,0,11,0,0,0,1,1,0,1,1,1
30,1,1,1,0,11,0,0,0,2,1,1,1,1,1
32,0,1,1,0,11,0,0,0,2,1,0,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
26,0,1,1,0,7,0,0,0,1,1,1,1,1,1
26,0,1,1,1,11,0,0,0,2,1,1,1,1,1
24,1,1,4,0,23,0,0,0,1,1,1,1,1,1
32,0,1,1,0,7,0,0,0,1,1,1,1,1,1
23,0,1,1,0,1,0,0,0,1,1,1,1,1,1
33,1,1,1,0,7,0,0,0,1,1,1,1,1,1
28,0,1,1,0,23,0,0,0,3,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,1,0,7,0,0,0,1,1,1,1,1,1
26,0,1,1,0,7,0,0,0,1,1,1,1,1,1
25,0,1,1,0,17,0,0,0,1,1,1,1,1,1
30,0,1,1,0,7,0,0,0,1,1,0,0,1,0
27,1,1,1,0,11,0,0,0,1,1,1,1,1,1
28,0,1,1,0,11,0,0,0,1,1,1,1,1,0
27,1,1,1,1,11,0,0,0,1,1,0,1,1,1
24,0,1,1,0,11,0,0,0,2,1,0,1,1,1
26,1,0,1,0,11,1,1,1,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,1,1,0,11,0,1,0,1,1,1,1,1,1
23,1,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,1,0,11,0,1,0,2,1,1,1,1,1
30,0,0,1,0,11,0,0,0,2,1,0,1,1,1
27,0,1,1,0,11,0,0,0,2,0,1,1,1,1
33,0,1,1,0,11,0,0,0,1,1,0,0,1,0
28,1,1,1,0,17,0,0,1,1,1,1,1,1,1
28,1,1,1,0,11,0,0,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,0,1,1,1,1,1,1
30,1,1,1,0,11,0,0,0,1,1,0,0,1,0
33,0,1,1,1,11,0,0,0,3,1,1,1,1,1
25,1,1,1,0,11,0,0,1,1,1,1,1,1,1
23,1,1,1,0,11,0,0,0,1,1,1,1,1,1
32,1,0,1,0,11,0,0,1,2,1,0,0,1,1
24,0,1,1,0,11,0,0,0,3,0,1,1,1,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
24,0,1,1,0,11,1,1,0,2,1,1,1,1,1
35,0,1,1,0,11,0,0,0,1,1,1,0,1,1
22,0,1,1,0,7,0,0,0,2,1,1,1,1,0
29,1,1,1,0,11,0,0,0,2,1,1,1,1,1
22,1,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,0
31,0,0,1,0,11,0,0,0,1,1,0,0,1,0
34,0,1,3,1,19,0,0,0,2,1,1,1,1,1
30,1,1,1,0,11,0,0,0,1,1,1,1,1,1
30,0,1,1,0,19,0,0,0,1,1,0,1,1,1
31,0,1,3,1,11,0,0,1,1,1,0,0,1,0
27,0,1,3,1,11,1,1,0,2,1,0,0,1,0
23,0,1,1,1,19,0,0,0,1,1,1,1,1,1
31,0,0,2,0,11,0,0,1,2,1,0,0,1,0
28,1,1,1,0,11,0,0,1,1,1,1,1,1,0
32,0,0,1,0,11,0,0,1,2,1,0,1,1,1
23,0,1,1,0,11,0,0,0,2,1,1,1,1,1
31,1,0,1,0,11,0,0,1,1,1,0,0,1,0
31,1,0,1,0,11,0,0,0,1,1,0,1,1,0
26,0,1,1,1,7,0,0,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,1,0,1,1,0,1
23,0,1,1,0,1,0,0,0,1,1,1,1,1,1
20,0,1,1,0,19,0,0,0,2,1,1,1,1,1
28,0,1,1,0,11,0,0,0,2,1,1,0,1,1
22,1,1,1,0,11,0,0,0,2,1,1,1,1,1
27,1,1,1,0,19,0,0,0,1,1,1,1,1,1
27,1,1,1,0,11,0,0,0,2,1,1,1,1,1
28,0,1,1,0,11,1,1,1,1,1,1,1,1,1
26,0,1,1,0,11,0,0,0,2,1,1,1,1,1
28,1,1,1,0,11,0,0,0,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,1,1,1,1,1
30,0,1,1,0,19,0,0,0,1,1,1,1,1,1
29,0,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,5,0,11,0,0,0,2,1,1,1,1,1
29,0,1,1,0,11,0,1,1,1,1,1,0,1,1
32,1,0,1,0,19,0,0,0,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,1,1,0,1,1,1
29,0,1,1,0,11,0,0,0,1,1,1,0,1,1
25,1,1,1,0,11,0,0,0,1,1,1,1,1,1
26,0,1,1,0,19,1,1,0,1,1,1,1,1,1
27,0,1,1,0,23,0,0,0,1,1,1,1,1,1
30,0,0,1,0,11,1,1,0,2,1,1,0,1,1
24,1,1,1,0,11,1,1,0,1,1,1,1,1,1
21,0,1,1,0,17,0,0,0,1,1,1,1,1,1
29,0,1,1,0,11,0,1,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,1,1,0,1,1
37,0,1,1,0,19,0,0,0,1,1,1,1,1,1
24,0,1,1,0,11,0,0,0,1,1,1,1,1,1
25,0,1,1,1,19,0,0,0,3,1,1,1,1,1
23,0,1,1,0,11,0,0,0,1,1,1,1,1,1
31,1,1,1,1,11,0,1,0,1,1,1,0,1,1
30,0,1,1,0,7,0,0,0,1,1,0,1,1,1
35,1,1,1,0,11,0,0,1,2,1,1,1,1,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
30,1,1,1,0,11,0,0,0,1,1,0,1,1,1
29,0,1,1,0,11,0,0,1,1,1,1,1,1,1
32,1,0,1,0,11,0,0,0,1,1,0,0,1,1
30,0,0,1,0,11,0,0,1,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
30,0,1,1,0,11,0,0,0,1,1,0,0,1,0
31,0,1,1,0,11,0,0,0,3,1,1,1,1,1
28,0,1,1,0,11,1,1,0,2,1,1,1,1,1
23,0,1,1,1,11,0,0,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1
29,1,0,1,0,11,0,0,0,1,1,1,1,1,0
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
31,0,1,1,1,11,0,0,1,1,1,1,1,1,1
32,0,1,3,1,11,0,0,0,1,1,1,1,1,1
25,0,1,1,0,19,0,0,1,2,1,1,1,1,1
24,0,1,1,0,7,0,0,0,2,1,1,1,1,1
26,0,1,1,0,11,0,0,0,2,1,1,1,1,0
22,0,1,1,0,11,0,0,0,2,0,1,1,1,1
29,0,1,1,0,19,0,0,0,1,1,1,0,1,1
25,0,1,1,1,11,0,1,0,1,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,1,1,1,1,1
30,1,1,1,0,11,0,0,0,2,1,1,1,1,1
27,1,1,1,0,11,0,0,1,3,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,1,1,1,1,1
34,1,1,1,0,11,0,0,0,1,1,1,1,1,1
26,0,1,1,0,11,1,1,0,1,1,1,1,1,1
28,1,0,1,0,11,0,0,0,2,1,1,1,1,1
24,0,1,1,0,11,0,1,1,2,1,1,1,1,1
21,0,1,1,0,7,0,0,0,2,1,1,1,1,1
24,1,1,1,0,17,0,0,0,2,0,1,1,1,1
28,0,1,1,0,11,0,0,0,2,1,1,1,1,0
31,0,1,1,0,11,0,0,0,3,1,1,1,1,1
27,0,1,1,0,11,0,1,0,1,1,1,1,1,1
28,0,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,0,3,1,11,1,1,1,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
29,1,0,1,0,7,0,0,0,1,1,0,1,1,1
31,1,0,1,0,11,0,0,0,1,1,1,1,1,1
29,0,1,1,0,11,0,1,0,2,1,1,1,1,1
30,1,1,1,0,11,1,1,1,3,1,1,1,1,1
25,0,1,1,0,11,1,1,0,1,1,1,1,1,1
31,1,0,1,0,11,0,0,0,1,1,0,0,1,0
25,1,1,1,0,7,0,0,0,1,1,1,1,1,1
31,1,1,1,0,11,0,0,0,1,1,1,1,1,1
25,0,1,1,0,11,1,1,0,1,1,0,1,1,1
28,1,1,1,0,11,0,0,0,1,1,1,1,1,1
24,0,1,1,1,11,0,0,0,3,1,1,1,1,1
28,0,1,1,0,11,0,1,0,1,1,1,1,1,1
26,0,1,1,0,11,1,0,1,2,1,1,1,1,1
28,0,1,1,0,11,0,0,0,3,1,1,1,1,1
32,0,1,1,0,11,0,0,0,2,1,0,0,1,0
25,1,1,1,0,11,0,0,0,2,1,1,1,1,1
30,1,0,1,0,11,0,0,0,2,1,1,1,1,1
24,0,1,1,0,7,0,0,0,1,0,1,0,0,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
29,0,1,1,0,11,0,0,0,1,1,0,0,1,0
25,0,1,1,0,11,0,0,0,2,1,1,1,1,1
25,0,1,1,0,7,1,1,0,1,0,1,1,1,1
24,0,1,1,0,11,1,1,0,1,1,1,1,1,1
23,0,1,1,0,11,0,0,0,1,1,1,1,1,1
23,0,1,1,0,11,1,1,0,1,0,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
24,1,1,1,0,11,0,0,0,1,1,1,1,1,1
33,0,0,1,0,11,0,0,0,2,1,1,1,1,0
31,1,0,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,11,0,0,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1
24,1,1,3,1,11,0,0,0,1,1,1,1,1,1
23,0,1,1,0,11,1,1,0,2,1,1,1,1,1
27,1,0,1,0,11,0,0,1,1,1,1,1,1,0
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
30,1,1,1,0,11,0,0,0,3,1,1,1,1,1
27,1,1,1,0,11,0,0,1,2,1,1,1,1,1
36,0,1,1,0,11,1,1,0,2,1,1,1,1,1
23,1,1,1,0,19,0,0,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,1,1,1,1,1
33,1,1,1,0,11,0,0,0,2,1,1,1,1,1
27,1,1,1,0,11,0,0,0,1,1,1,1,1,1
28,1,1,1,0,11,0,0,0,2,1,1,1,1,1
28,0,1,1,1,11,0,0,0,2,1,1,0,1,0
23,0,1,1,0,23,0,0,0,2,0,1,1,1,1
32,1,0,1,0,11,0,0,1,1,1,1,1,1,1
32,0,1,1,0,11,0,0,0,1,1,1,1,1,1
24,0,1,1,0,11,1,1,0,2,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,1,1,1,1,1
23,1,1,1,0,11,1,1,0,2,1,1,1,1,0
32,1,0,1,0,11,0,0,0,2,1,1,0,1,1
25,0,1,1,0,19,0,0,0,1,1,1,1,1,1
37,1,1,1,0,11,0,0,1,1,1,1,1,1,1
25,0,1,1,1,11,0,1,0,1,0,1,1,1,1
28,1,1,1,1,7,0,0,1,1,1,1,1,1,1
32,1,0,1,0,11,0,0,0,1,1,0,0,1,0
29,0,1,1,0,11,0,0,0,1,1,1,1,1,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
33,0,0,1,0,11,0,0,0,1,1,0,0,1,0
27,0,1,1,0,11,0,1,0,2,1,1,1,1,1
29,0,1,1,0,11,0,1,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,1,1,1,0,11,0,0,0,1,1,1,1,1,1
27,0,1,1,0,7,0,0,0,2,1,1,1,1,1
31,0,1,1,0,11,0,1,0,2,1,1,0,1,1
29,1,1,1,0,11,0,0,0,1,1,0,1,1,1
35,0,1,1,0,11,1,1,0,1,1,1,1,1,1
30,0,1,1,0,11,1,1,0,2,1,1,1,1,1
32,0,1,1,0,11,0,0,0,1,1,0,0,1,0
25,0,1,1,1,11,0,0,0,2,1,1,1,1,1
28,1,1,1,0,11,0,0,1,2,1,1,1,1,1
30,0,1,1,0,17,0,0,0,3,1,1,1,1,1
37,0,1,1,0,11,0,0,0,1,1,0,0,1,0
30,0,1,1,0,11,1,1,1,2,1,1,1,1,1
29,0,1,1,0,6,0,0,0,1,1,0,1,1,1
33,1,0,1,0,11,0,0,0,1,1,1,0,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
29,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,1,1,0,11,0,1,0,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,1,1,1,1,1,1
29,1,1,1,0,11,0,0,0,2,1,0,1,1,1
24,0,1,1,0,7,0,1,0,2,1,1,1,1,1
26,0,1,2,0,11,0,0,0,2,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
27,1,1,1,0,11,0,0,1,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,1,1,0,7,0,0,0,1,1,1,1,1,1
29,0,1,1,0,14,1,1,0,1,1,0,1,1,1
25,0,1,6,1,7,0,0,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
25,0,1,1,1,11,0,0,1,1,1,1,1,1,1
25,0,1,1,0,19,0,0,0,1,1,1,1,1,1
22,1,1,1,0,19,0,0,0,2,1,1,1,0,1
33,0,0,1,0,11,0,0,0,2,1,0,0,1,1
29,1,1,1,0,11,0,0,0,1,1,1,1,1,0
27,0,1,1,0,11,0,0,0,2,1,1,1,1,0
29,1,1,1,0,11,0,0,0,1,1,1,1,1,1
24,0,1,1,0,11,0,1,0,1,1,1,1,1,1
23,0,1,1,0,7,0,1,0,1,1,1,1,1,1
27,0,1,1,0,11,1,1,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,1,1,1,1,1
29,1,1,1,0,11,0,0,0,1,1,1,1,1,1
28,0,1,1,0,11,0,0,0,1,1,1,1,1,1
25,0,1,1,0,24,1,1,0,1,1,1,1,1,1
22,1,1,3,0,11,0,0,0,2,0,1,0,1,1
28,1,1,3,1,19,0,0,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,0,2,1,1,0,1,1
34,1,0,1,0,11,0,0,1,1,1,0,0,1,0
26,0,1,1,0,11,0,0,0,1,1,1,1,1,1
35,0,1,2,0,7,0,0,0,1,1,1,1,1,1
22,0,1,1,0,7,0,0,0,1,1,1,1,1,1
33,0,1,1,0,19,0,0,0,2,1,0,1,1,1
27,0,1,1,0,11,0,0,0,2,1,1,1,1,1
31,0,0,1,0,11,0,0,0,2,1,0,0,1,0
27,0,1,1,0,11,0,0,0,1,1,1,1,1,1
30,0,1,1,0,11,0,0,0,1,1,0,1,1,1
26,1,1,1,0,11,0,0,0,1,1,1,1,1,1
28,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,1,5,0,11,0,0,1,1,1,1,1,1,1
22,1,1,1,0,11,1,1,0,2,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,1,1,1,0,17,0,0,0,2,1,1,1,1,1
28,0,1,1,0,11,0,0,0,1,1,1,1,1,1
33,0,0,1,0,11,0,0,0,1,1,0,0,1,0
25,0,1,1,0,7,0,0,0,1,0,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
29,0,1,1,0,11,0,0,0,1,1,1,0,1,1
34,1,1,1,0,24,0,1,1,1,1,1,1,1,1
29,0,1,1,0,11,0,0,0,1,1,0,1,1,1
28,0,1,1,0,11,0,0,0,1,1,1,0,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,1,1,1,0,11,0,0,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
36,0,1,1,0,11,1,0,0,1,1,1,1,1,1
24,1,1,1,0,19,0,0,0,1,1,1,1,1,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
38,0,1,1,0,11,0,0,0,1,1,1,1,1,1
29,0,1,3,0,11,0,0,0,1,1,1,1,1,1
27,0,1,1,0,11,0,0,0,1,0,0,0,0,0
29,1,1,1,0,11,0,0,1,1,1,1,1,1,1
29,0,0,1,0,4,0,0,0,2,1,1,0,1,1
31,0,1,1,0,11,0,0,0,2,1,0,0,1,0
24,0,1,1,0,11,0,0,0,1,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
30,0,1,1,0,7,0,0,0,1,1,1,1,1,1
27,1,1,1,0,11,0,0,0,1,1,1,1,1,1
29,0,1,1,0,11,0,0,0,3,1,1,1,1,1
29,0,1,1,0,11,0,0,0,2,1,0,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,1,1,1,0,1
22,0,1,1,0,19,1,1,0,2,1,1,1,1,1
23,1,1,1,0,11,0,0,0,1,1,1,1,1,1
31,1,1,1,0,11,0,0,1,1,1,0,0,1,1
28,0,1,1,0,11,0,0,0,2,1,1,1,1,1
25,0,1,1,0,11,1,1,0,2,1,1,1,1,1
28,0,1,1,0,11,0,0,0,2,0,0,0,0,0
31,0,1,1,1,11,1,1,0,2,1,1,1,1,1
29,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,1,1,0,11,0,0,0,1,0,0,0,0,0
23,1,1,1,0,7,0,0,0,2,0,1,1,1,1
25,0,1,1,0,11,1,1,0,1,1,0,1,1,1
