@relation data_computacion

@attribute edad {17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute genero {1,0}
@attribute estado_civil {1,0}
@attribute etnia {0,1,2,3,4,5,6}
@attribute sector_procedencia {1,0}
@attribute provincia_nacimiento {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute trabaja {1,0}
@attribute ingreso_estudiante {1,0}
@attribute numero_hijos{1,0}
@attribute tipo_colegio {1,2,3}
@attribute ELECTRICIDAD {0,1}
@attribute ALGEBRA_LINEAL {0,1}
@attribute COMUNICACION_PROFESIONAL {0,1}
@attribute INTRODUCCION_A_LAS_CIENCIAS_DE_LA_COMPUTACION {0,1}
@attribute TEORIA_DE_LA_PROGRAMACION {0,1}


@data
21,1,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,1,1,11,1,1,0,1,1,0,1,1,1
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
19,0,1,1,1,11,0,0,0,2,1,1,1,1,1
18,0,1,1,0,11,0,1,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,0,1
19,1,1,1,1,11,0,1,0,2,0,1,1,0,0
21,1,1,1,0,19,0,0,0,2,1,1,0,1,0
25,0,1,1,0,7,0,0,0,2,1,1,1,1,1
22,0,1,1,0,19,0,0,0,2,1,0,1,1,1
19,1,1,1,0,11,0,0,0,2,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,0,1,0,0
23,0,1,1,0,11,0,0,0,2,0,0,1,0,1
19,1,1,1,0,11,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,0,0,0,0,0
19,0,1,1,0,7,0,0,0,2,1,0,1,1,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,0,0,0,0,0
23,1,1,1,0,7,0,0,0,2,1,1,1,1,1
22,0,1,6,0,7,0,0,0,2,1,1,1,1,1
25,1,1,1,0,11,0,0,1,2,1,1,1,1,0
21,0,1,1,0,11,0,0,0,2,0,0,0,0,0
22,0,1,1,1,11,0,0,0,2,1,1,1,1,1
18,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,0,0,0,0,0
19,0,1,1,0,11,0,1,0,2,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,1,0,1,0,1
20,0,1,1,0,11,0,0,0,2,0,1,0,0,0
24,0,1,1,0,19,0,0,0,2,0,1,1,1,0
22,1,1,1,1,11,0,0,0,1,0,0,1,0,0
22,0,1,1,1,11,0,0,0,2,1,1,1,1,1
21,1,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,0,1,0,1,0
20,1,1,1,0,11,0,0,0,2,1,1,1,1,0
19,1,1,1,0,11,0,0,0,2,0,0,0,0,0
24,0,1,1,0,11,0,0,0,3,1,1,1,1,1
25,0,1,1,0,11,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,0,1,0,1,0
21,1,1,1,0,11,0,0,0,2,0,0,1,0,0
22,0,1,1,0,11,0,0,0,2,1,1,1,0,1
20,0,1,1,0,11,0,1,0,2,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,0
23,0,1,1,1,11,0,1,0,2,1,1,1,1,0
20,1,1,1,0,11,0,0,0,2,1,1,1,1,1
21,1,1,1,0,19,0,0,0,2,0,1,1,1,0
21,0,1,1,0,11,0,0,0,2,1,1,0,0,0
20,0,1,1,0,11,0,0,0,2,0,0,0,1,0
21,0,1,1,0,11,0,0,0,2,1,1,0,1,1
19,1,1,1,0,11,0,1,0,2,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,1,1,1,1,11,0,1,0,2,1,1,0,1,0
20,0,1,1,0,19,0,0,0,2,1,1,1,1,1
22,0,1,1,0,11,1,1,0,2,1,1,1,1,1
21,0,1,1,0,11,0,0,0,1,1,1,1,1,1
20,0,1,1,0,11,0,0,0,1,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,0,1,0,1,0
19,1,1,1,0,11,1,1,0,2,0,0,1,0,0
18,1,1,1,0,11,0,0,0,2,1,1,1,1,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,1,1,1,1,11,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,0,0,0,0,0
20,0,1,1,0,11,0,1,0,2,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,1,1,1,0,11,0,0,1,2,0,0,0,0,0
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
26,0,0,1,1,19,0,1,1,2,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,9,0,1,0,1,0,0,0,0,0
26,0,1,1,0,17,0,0,0,2,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,0,0,0,0,0
20,0,1,1,1,11,0,0,0,2,1,1,0,0,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
21,0,1,1,1,19,0,0,1,2,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,1,1,1,0,23,0,0,0,2,0,0,0,0,0
25,0,1,1,0,11,0,0,0,2,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
22,0,1,1,0,11,0,1,0,2,1,1,1,1,1
20,0,1,3,0,11,0,0,0,2,0,1,0,0,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
21,0,1,1,0,7,0,0,0,2,1,1,1,1,1
22,0,1,2,0,11,0,0,0,2,0,1,1,0,0
20,0,1,1,0,11,0,0,0,2,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,1,1,1,1,11,0,1,0,2,1,0,1,1,0
20,0,1,1,0,11,0,0,0,2,0,0,1,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,0,7,1,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,0,1,1,1,0
25,0,1,1,0,19,0,0,0,2,1,1,1,1,1
18,1,1,1,1,11,0,0,0,2,0,0,0,0,0
22,0,1,1,0,17,0,0,0,2,0,0,0,0,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
27,0,1,1,0,11,1,1,0,1,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,1,1,0,0,0
22,1,1,1,1,11,0,0,0,2,0,0,1,0,0
21,0,1,1,0,1,0,0,0,2,0,1,1,1,0
20,1,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
22,0,1,1,0,11,0,0,0,1,1,1,1,1,1
25,0,1,1,0,11,0,0,0,1,1,1,1,1,1
23,0,1,3,0,19,0,0,0,2,0,0,1,1,1
21,0,1,1,0,11,0,0,0,2,1,0,1,1,0
23,0,1,1,0,23,0,0,0,2,1,1,1,1,1
19,1,1,1,0,11,0,0,0,2,1,1,1,0,1
20,0,1,1,0,11,0,0,0,2,0,0,1,0,0
22,0,1,1,0,11,0,0,0,2,1,0,1,1,0
25,0,1,1,1,11,0,1,0,1,1,1,1,1,1
19,1,1,1,0,11,0,0,0,2,1,0,1,1,0
21,0,1,1,0,11,0,0,0,2,0,0,1,0,0
22,0,1,1,0,11,0,0,0,2,0,1,1,1,0
21,1,0,1,0,11,0,0,1,2,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
19,1,1,1,0,7,0,0,0,2,1,0,1,1,0
25,1,1,2,1,7,0,0,1,2,0,0,0,0,0
20,1,1,1,0,11,0,0,0,2,0,0,1,0,0
26,0,1,1,0,11,0,0,0,2,0,1,1,0,1
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,1,1,1,0,11,0,0,0,2,0,1,1,1,0
35,0,1,1,0,11,1,1,0,1,1,1,1,1,1
22,0,1,1,0,11,0,0,0,2,1,1,1,1,1
21,0,1,1,0,11,1,1,0,2,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,0
20,0,1,1,0,19,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,0,1,1,1,0
22,0,1,1,0,11,0,0,0,2,0,0,0,0,0
22,0,1,1,0,11,0,0,0,2,1,1,1,1,0
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,19,0,0,0,2,0,0,0,0,0
19,1,1,1,0,11,0,0,0,2,0,1,0,1,0
19,1,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,1,0,1,1,1
21,0,1,1,0,11,0,0,0,2,0,0,1,0,0
19,1,1,1,0,11,0,0,0,2,1,1,1,1,1
21,0,1,1,0,11,0,1,0,2,0,1,1,0,0
20,0,1,1,0,19,0,0,0,2,1,1,1,1,1
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,0,0,1,1,0
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,1,1,1,0
19,0,1,1,0,19,0,0,0,2,1,0,1,1,0
21,1,1,1,1,11,0,0,0,2,1,1,1,1,0
19,0,1,1,0,19,0,0,0,2,1,1,1,1,1
20,0,1,1,1,11,0,0,0,2,1,1,1,1,0
20,1,1,1,1,11,0,0,0,2,0,0,0,0,0
19,1,1,1,0,11,0,0,0,2,0,0,1,1,1
24,0,1,1,0,11,0,0,0,2,0,0,0,0,0
21,1,1,6,0,11,0,1,0,2,1,1,1,1,1
24,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,19,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,0,0,0,0,0
25,0,1,1,0,11,0,0,0,2,0,0,0,0,0
26,0,1,1,0,11,0,0,0,2,0,1,0,0,0
23,0,0,1,0,11,0,0,0,2,0,0,0,0,0
24,1,1,1,0,11,0,0,0,2,0,0,0,0,0
21,1,1,1,0,11,0,0,0,2,1,1,1,0,0
19,1,1,1,0,11,0,0,0,2,0,0,0,0,0
18,1,1,1,0,11,0,0,0,2,0,0,0,0,0
34,1,1,1,0,11,1,1,1,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,1,11,0,0,0,2,0,0,0,0,0
24,0,1,1,0,21,0,0,0,2,0,1,1,1,0
20,0,1,1,0,11,0,0,0,2,0,0,1,0,0
24,0,1,1,0,11,0,1,1,2,1,0,1,0,1
21,0,1,1,0,9,0,0,0,2,1,1,1,0,1
19,1,1,1,0,11,0,0,1,2,0,0,0,0,0
21,0,1,1,0,11,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
23,0,1,1,0,11,0,0,0,2,1,1,1,1,1
22,0,1,1,0,11,1,1,0,2,1,1,1,1,1
22,1,1,1,0,11,0,0,0,2,1,0,1,1,1
23,0,1,1,0,11,0,0,0,2,0,0,1,0,0
21,0,1,1,0,7,0,0,0,2,1,0,1,1,0
21,0,1,1,0,11,0,0,0,2,0,0,0,0,0
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
19,0,1,1,0,11,0,0,0,2,1,1,1,1,0
20,0,1,1,0,11,0,0,0,2,0,1,0,0,0
23,1,1,1,0,7,0,0,0,2,1,1,1,1,1
20,0,1,1,0,11,0,0,0,2,1,1,1,1,1
