id_alumno,Carrera/Titulo,plan_nombre,año_ingreso,egresado de,porcentaje_avance,cant_aprobadas,promedio_con_aplazo,promedio_sin_aplazo,cnt_materias,año_reinsc,cant_equiv,sexo,cant_hijos,situacion_padre,situacion_madre,tipo_vivienda,loc_per_lect,loc_origen,costeo_familiar,costeo_social,costeo_trabajo,costeo_beca,costeo_otro,trabajo_hace,trabajo_existe,trabajo_ocupacion,horas_sem,trabajo_carrera,trabajo_descripcion,mot_vocacion,mot_sugerencia_familiar,mot_reconocimiento_social,mot_insercion_laboral,mot_perfil_profesional,mot_mejora_economica,mot_util_sociedad,mot_otros_p
126,Análisis de Sistemas,2010,2013,Analista de Sistemas,"100,00",23,"8,36","8,36",23,2024,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1486,Licenciatura en Sistemas de Información,2010,2021,Analista de Sistemas,"94,29",33,"8,19","8,41",35,2024,0,Masculino,No tiene,N,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Más de 20 y hasta 35 horas,Total,REPARTO E INGRESO DE MERCADERÍA,N,N,N,N,N,N,N,N
67,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"91,43",32,"8,45","8,45",35,2024,0,Masculino,No tiene,V,V,Sin Dato,PRESIDENTE AVELLANEDA,PRESIDENTE AVELLANEDA,S,N,N,N,N,Pasante,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",35 o más horas,Sin relación,Desconoce,N,N,N,N,N,N,N,N
72,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"82,86",29,"7,80","8,07",35,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PRESIDENTE AVELLANEDA,PRESIDENTE AVELLANEDA,N,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
78,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"71,43",25,"8,12","8,12",35,2024,21,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Sin Dato,Sin Dato,Sin Dato,N,N,N,N,S,N,N,N
"7,5",Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"65,71",23,"6,61","7,87",35,2024,13,Masculino,No tiene,N,V,Casa / Departamento propio,SAN BENITO,SAN BENITO,N,N,S,N,N,Cuenta propia / Independiente,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Hasta 10 horas,Total,desconoce,N,N,N,N,N,N,N,N
1918,Licenciatura en Sistemas de Información,2010,2023,Analista de Sistemas,"62,86",22,"8,60","8,60",35,2024,20,Masculino,No tiene,V,V,Casa / Departamento alquilado,ORO VERDE,ORO VERDE,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
268,Análisis de Sistemas,2010,2014,Analista de Sistemas,"100,00",23,"7,96","8,21",23,2023,3,Masculino,No tiene,V,V,Sin Dato,ORO VERDE,CERRITO,S,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
264,Análisis de Sistemas,2010,2014,Analista de Sistemas,"100,00",23,"8,58","8,58",23,2023,5,Masculino,No tiene,V,V,Sin Dato,ORO VERDE,MACIA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,"Tareas de Infraestructura, networking y seguridad informatica",N,N,N,N,N,N,N,N
74,Análisis de Sistemas,2010,2013,Analista de Sistemas,"100,00",23,"6,53","7,96",23,2023,13,Femenino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,S,N,N,Cuenta propia / Independiente,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Hasta 10 horas,Sin relación,ESTILISTA PROFESIONAL,S,N,N,S,S,S,S,N
203,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"100,00",35,"8,05","8,53",35,2023,19,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
95,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"97,14",34,"8,36","8,49",35,2023,23,Masculino,No tiene,V,V,Sin Dato,AVENIDA EJERCITO PARANA,Sin Dato,N,N,N,S,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",35 o más horas,Sin relación,Administracion,N,N,N,N,N,N,N,N
343,Licenciatura en Sistemas de Información,2010,2014,Analista de Sistemas,"68,57",24,"9,00","8,57",35,2023,5,Masculino,No tiene,V,V,Sin Dato,ORO VERDE,Indeterminada,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1151,Licenciatura en Sistemas de Información,2010,2018,Analista de Sistemas,"65,71",23,"8,33","8,33",35,2023,20,Femenino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,S,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
14,Licenciatura en Sistemas de Información,2010,2021,Analista de Sistemas,"88,57",31,"7,67","8,07",35,2021,1,Masculino,No tiene,N,V,Sin Dato,DIAMANTE,DIAMANTE,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
65,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"74,29",26,"9,31","9,31",35,2018,20,Femenino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
22,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"97,14",34,"8,18","8,36",35,2024,0,Femenino,Uno,V,V,Sin Dato,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Hasta 10 horas,Parcial,SE DESCONOCE,N,N,N,N,N,N,N,N
183,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"85,71",30,"8,38","8,38",35,2024,0,Masculino,Uno,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,Encargado De Sistemas,N,N,N,N,S,S,N,N
157,Licenciatura en Sistemas de Información,2010,2013,Analista de Sistemas,"80,00",28,"7,69","7,69",35,2024,19,Masculino,Uno,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,S,N,N,N,N,N,N,N
1135,Análisis de Sistemas,2010,2018,Enfermero Universitario,"0,00",0,"0,00","0,00",23,2021,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1203,Licenciatura en Sistemas de Información,2010,2019,Enfermero Universitario,"0,00",0,"0,00","0,00",35,2021,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,S,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1167,Licenciatura en Sistemas de Información,2010,2018,Licenciado en Accidentología Vial,"0,00",0,"0,00","0,00",35,2021,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
790,Análisis de Sistemas,2010,2017,Licenciado en Criminalística,"17,39",4,"9,25","9,25",23,2024,2,Femenino,No tiene,N,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
817,Licenciatura en Sistemas de Información,2010,2017,Licenciado en Criminalística,"11,43",4,"9,25","9,25",35,2024,2,Masculino,No tiene,V,N,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1549,Análisis de Sistemas,2010,2022,Licenciado en Criminalística,"8,70",2,"8,00","8,00",23,2024,2,Masculino,No tiene,V,V,Casa / Departamento alquilado,PARANA,NOGOYA,S,N,S,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1548,Licenciatura en Sistemas de Información,2010,2022,Licenciado en Criminalística,"5,71",2,"8,00","8,00",35,2024,2,Femenino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
215,Análisis de Sistemas,2010,2013,Licenciado en Economía,"0,00",0,"0,00","0,00",23,2017,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,Programación,N,N,N,N,N,N,N,N
216,Licenciatura en Sistemas de Información,2010,2013,Licenciado en Economía,"0,00",0,"0,00","0,00",35,2017,0,Femenino,Uno,N,N,Casa / Departamento propio,PARANA,PARANA,S,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,"Tareas Administrativas, Asesoramiento Y Capacitación Informática. Dirección General De Integración Social Para Personas Mayores. Municipalidad De Paraná",S,N,N,S,S,S,S,N
1146,Análisis de Sistemas,2010,2018,PROFESOR DE GEOGRAFÍA,"0,00",0,"0,00","0,00",23,2024,0,Femenino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
33,Licenciatura en Sistemas de Información,2010,2013,PROFESOR EN INGLÉS,"20,00",7,"6,20","7,29",35,2019,0,Masculino,No tiene,D,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Sin relación,Empleado De Distribuidora De Alimentos Gastronómicos.,N,N,N,S,N,S,N,N
1850,Análisis de Sistemas,2010,2023,Profesor en Matemática,"43,48",10,"9,30","9,30",23,2024,6,Masculino,No tiene,V,V,Casa / Departamento alquilado,ORO VERDE,CONCORDIA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1849,Licenciatura en Sistemas de Información,2010,2023,Profesor en Matemática,"28,57",10,"9,30","9,30",35,2024,6,Masculino,No tiene,V,V,Sin Dato,ORO VERDE,NUEVA VIZCAYA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1360,Licenciatura en Sistemas de Información,2010,2017,Profesor en Matemática,"17,14",6,"8,33","8,33",35,2024,5,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
837,Análisis de Sistemas,2010,2017,Profesor en Matemática,"34,78",8,"3,85","7,50",23,2021,7,Masculino,No tiene,V,V,Sin Dato,ALDEA BRASILERA,ALDEA BRASILERA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
917,Licenciatura en Sistemas de Información,2010,2017,Profesor en Matemática,"22,86",8,"3,85","7,50",35,2021,7,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,S,N,S,N,N
838,Análisis de Sistemas,2010,2017,Profesor en Matemática,"30,43",7,"8,43","8,43",23,2020,7,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
654,Análisis de Sistemas,2010,2016,Profesor en Matemática,"30,43",7,"8,43","8,43",23,2019,7,Masculino,No tiene,N,V,Sin Dato,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",Más de 20 y hasta 35 horas,Sin relación,Sereno de una Fabrica,N,N,N,N,N,N,N,N
655,Licenciatura en Sistemas de Información,2010,2016,Profesor en Matemática,"20,00",7,"8,43","8,43",35,2019,7,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1359,Análisis de Sistemas,2010,2017,Profesor en Matemática,"26,09",6,"8,33","8,33",23,2024,5,Masculino,Sin Dato,V,V,Casa / Departamento propio,CONCEPCION DEL URUGUAY,CONCEPCION DEL URUGUAY,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1677,Análisis de Sistemas,2010,2022,Profesor en Química,"0,00",0,"0,00","0,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,ORO VERDE,ORO VERDE,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1678,Licenciatura en Sistemas de Información,2010,2022,Profesor en Química,"0,00",0,"0,00","0,00",35,2024,0,Masculino,Sin Dato,V,V,Sin Dato,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1122,Análisis de Sistemas,2010,2018,PROFESOR UNIVERSITARIO EN MÚSICA,"17,39",4,"3,85","8,75",23,2023,0,Masculino,No tiene,V,V,Sin Dato,CRESPO,CRESPO,S,N,S,N,N,Pasante,"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",35 o más horas,Sin relación,TRABAJOS AGROPECUARIOS,N,N,N,N,N,N,N,N
1196,Licenciatura en Sistemas de Información,2010,2019,PROFESOR UNIVERSITARIO EN MÚSICA,"11,43",4,"3,85","8,75",35,2022,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
959,Licenciatura en Sistemas de Información,2010,2018,Técnico Bibliotecario Documentalista,"60,00",21,"8,14","8,35",35,2024,0,Femenino,No tiene,N,V,Sin Dato,ORO VERDE,DIAMANTE,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
885,Análisis de Sistemas,2010,2017,Técnico Bibliotecario Documentalista,"91,30",21,"8,18","8,38",23,2023,0,Masculino,No tiene,V,V,Otros,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1616,Análisis de Sistemas,2010,2022,Técnico en Administración,"4,35",1,"7,00","7,00",23,2024,0,Masculino,No tiene,V,V,Casa / Departamento alquilado,PARANA,SANTA ELENA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1617,Licenciatura en Sistemas de Información,2010,2022,Técnico en Administración,"2,86",1,"7,00","7,00",35,2024,0,Masculino,No tiene,V,V,Casa / Departamento propio,PARANA,PARANA,N,N,N,N,N,Sin Dato,No trabajó y buscó trabajo en algún momento de los últimos 30 días,Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1023,Análisis de Sistemas,2010,2018,Técnico en Balística,"0,00",0,"0,00","0,00",23,2023,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1024,Licenciatura en Sistemas de Información,2010,2018,Técnico en Balística,"0,00",0,"0,00","0,00",35,2022,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
166,Licenciatura en Sistemas de Información,2010,2013,Técnico en Marketing,"11,43",4,"3,85","7,00",35,2019,0,Masculino,Más de dos,V,V,Casa / Departamento alquilado,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,Administración Publica,S,N,N,N,S,S,S,N
122,Análisis de Sistemas,2010,2013,Técnico en Marketing,"17,39",4,"3,85","7,00",23,2019,0,Masculino,No tiene,V,V,Sin Dato,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
"107,5",Análisis de Sistemas,2010,2018,TRADUCTOR EN FRANCÉS,"17,39",4,"3,85","8,75",23,2023,0,Masculino,Sin Dato,Sin Dato,Sin Dato,Sin Dato,PARANA,PARANA,N,N,N,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Temporaria (incluye changa, trabajo transitorio, por tarea u obra, suplencia, etc.)",Más de 10 y hasta 20 horas,Sin relación,Colaborador,N,N,N,N,N,N,N,N
1301,Licenciatura en Sistemas de Información,2010,2019,,"54,29",19,"7,85","7,85",35,2024,0,Masculino,Dos,V,V,Sin Dato,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,SOPORTE TÉCNICO EN EL ÁREA DE SISTEMAS.,N,N,N,N,N,N,N,N
1513,Análisis de Sistemas,2010,2022,,"26,09",6,"6,11","7,17",23,2024,0,Femenino,Dos,V,V,Casa / Departamento alquilado,ORO VERDE,MARIA GRANDE,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
1584,Licenciatura en Sistemas de Información,2010,2022,,"22,86",8,"7,89","8,75",35,2024,0,Masculino,Dos,V,V,Casa / Departamento alquilado,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,DESARROLLO DE TECNOLOGÍA EN METROLOGÍA,N,N,N,N,N,N,N,N
1458,Análisis de Sistemas,2010,2021,,"17,39",4,"3,50","7,25",23,2024,0,Masculino,Dos,N,V,Casa / Departamento propio,PARANA,PARANA,N,N,S,N,N,Obrero o empleado (asalariado),"Trabajó al menos una hora (incluye a los que no trabajaron por licencia, vacaciones, enfermedad)","Permanente (incluye fijo, estable, de planta)",35 o más horas,Total,MANTENIMIENTO EN GENERAL.,S,N,N,S,S,S,N,N
1558,Licenciatura en Sistemas de Información,2010,2022,,"14,29",5,"3,85","6,80",35,2024,0,Masculino,Dos,V,V,Casa / Departamento propio,PARANA,PARANA,S,N,N,N,N,Sin Dato,No trabajó y no buscó trabajo (no esta pensando en trabajar),Sin Dato,Sin Dato,Sin Dato,Sin Dato,N,N,N,N,N,N,N,N
